time,amps
02/01/19 03:09:30 PM,37.9278
02/01/19 03:09:33 PM,
02/01/19 03:10:30 PM,38.0117
02/01/19 03:10:33 PM,
02/01/19 03:11:30 PM,37.6791
02/01/19 03:11:33 PM,
02/01/19 03:12:30 PM,38.2605
02/01/19 03:12:33 PM,
02/01/19 03:13:30 PM,38.0636
02/01/19 03:13:33 PM,
02/01/19 03:14:30 PM,38.2284
02/01/19 03:14:33 PM,
02/01/19 03:15:30 PM,38.2666
02/01/19 03:15:33 PM,
02/01/19 03:16:30 PM,38.1933
02/01/19 03:16:33 PM,
02/01/19 03:17:30 PM,38.0789
02/01/19 03:17:33 PM,
02/01/19 03:18:30 PM,38.2269
02/01/19 03:18:33 PM,
02/01/19 03:19:30 PM,38.0362
02/01/19 03:19:33 PM,
02/01/19 03:20:30 PM,37.7173
02/01/19 03:20:33 PM,
02/01/19 03:21:30 PM,38.0529
02/01/19 03:21:33 PM,
02/01/19 03:22:30 PM,37.9461
02/01/19 03:22:33 PM,
02/01/19 03:23:30 PM,38.0774
02/01/19 03:23:33 PM,
02/01/19 03:24:30 PM,38.088
02/01/19 03:24:33 PM,
02/01/19 03:25:30 PM,37.8698
02/01/19 03:25:33 PM,
02/01/19 03:26:30 PM,37.9599
02/01/19 03:26:33 PM,
02/01/19 03:27:30 PM,37.9049
02/01/19 03:27:33 PM,
02/01/19 03:28:30 PM,38.1033
02/01/19 03:28:33 PM,
02/01/19 03:29:30 PM,37.8515
02/01/19 03:29:33 PM,
02/01/19 03:30:30 PM,37.94
02/01/19 03:30:33 PM,
02/01/19 03:31:30 PM,37.8134
02/01/19 03:31:33 PM,
02/01/19 03:32:30 PM,37.7829
02/01/19 03:32:33 PM,
02/01/19 03:33:30 PM,37.7493
02/01/19 03:33:33 PM,
02/01/19 03:34:30 PM,37.7584
02/01/19 03:34:33 PM,
02/01/19 03:35:30 PM,38.0224
02/01/19 03:35:33 PM,
02/01/19 03:36:30 PM,37.7798
02/01/19 03:36:33 PM,
02/01/19 03:37:30 PM,37.8515
02/01/19 03:37:33 PM,
02/01/19 03:38:30 PM,37.9614
02/01/19 03:38:33 PM,
02/01/19 03:39:30 PM,37.85
02/01/19 03:39:33 PM,
02/01/19 03:40:30 PM,38.0438
02/01/19 03:40:33 PM,
02/01/19 03:41:30 PM,38.0728
02/01/19 03:41:33 PM,
02/01/19 03:42:30 PM,37.6181
02/01/19 03:42:33 PM,
