,time,amps
501,02/01/19 04:18:30 PM,37.8317
503,02/01/19 04:19:30 PM,37.9004
505,02/01/19 04:20:30 PM,37.8119
507,02/01/19 04:21:30 PM,37.9843
509,02/01/19 04:22:30 PM,37.882
511,02/01/19 04:23:30 PM,37.8378
513,02/01/19 04:24:30 PM,37.8164
515,02/01/19 04:25:30 PM,37.8119
517,02/01/19 04:26:30 PM,37.789
519,02/01/19 04:27:30 PM,38.1491
521,02/01/19 04:28:30 PM,37.6944
523,02/01/19 04:29:30 PM,37.9187
525,02/01/19 04:30:30 PM,37.7905
527,02/01/19 04:31:30 PM,37.7661
529,02/01/19 04:32:30 PM,37.5708
531,02/01/19 04:33:30 PM,37.8866
533,02/01/19 04:34:30 PM,37.9324
535,02/01/19 04:35:30 PM,37.6516
537,02/01/19 04:36:30 PM,37.8775
539,02/01/19 04:37:30 PM,37.9706
541,02/01/19 04:38:30 PM,37.7966
543,02/01/19 04:39:30 PM,37.9294
545,02/01/19 04:40:30 PM,37.9049
547,02/01/19 04:41:30 PM,37.763000000000005
549,02/01/19 04:42:30 PM,38.0056
551,02/01/19 04:43:30 PM,37.9477
553,02/01/19 04:44:30 PM,37.7859
555,02/01/19 04:45:30 PM,37.8164
557,02/01/19 04:46:30 PM,37.7707
559,02/01/19 04:47:30 PM,37.7569
561,02/01/19 04:48:30 PM,37.6074
563,02/01/19 04:49:30 PM,38.027
565,02/01/19 04:50:30 PM,37.8958
567,02/01/19 04:51:30 PM,37.8103
569,02/01/19 04:52:30 PM,37.9217
571,02/01/19 04:53:30 PM,37.8271
573,02/01/19 04:54:30 PM,37.8775
575,02/01/19 04:55:30 PM,37.673
577,02/01/19 04:56:30 PM,37.8119
579,02/01/19 04:57:30 PM,0.0275
581,02/01/19 04:58:30 PM,0.0259
583,02/01/19 04:59:30 PM,0.0259
585,02/01/19 05:00:30 PM,0.0259
587,02/01/19 05:01:30 PM,0.0259
589,02/01/19 05:02:30 PM,0.0259
591,02/01/19 05:03:30 PM,0.0259
593,02/01/19 05:04:30 PM,0.0259
595,02/01/19 05:05:30 PM,0.0259
597,02/01/19 05:06:30 PM,40.148
599,02/01/19 05:07:30 PM,37.1542
601,02/01/19 05:08:30 PM,37.6013
603,02/01/19 05:09:30 PM,38.0041
605,02/01/19 05:10:30 PM,37.7462
607,02/01/19 05:11:30 PM,37.7005
609,02/01/19 05:12:30 PM,37.7295
611,02/01/19 05:13:30 PM,37.5128
613,02/01/19 05:14:30 PM,37.6287
615,02/01/19 05:15:30 PM,37.5311
617,02/01/19 05:16:30 PM,37.789
619,02/01/19 05:17:30 PM,37.5219
621,02/01/19 05:18:30 PM,37.6226
623,02/01/19 05:19:30 PM,37.6944
625,02/01/19 05:20:30 PM,37.7035
627,02/01/19 05:21:30 PM,37.702
629,02/01/19 05:22:30 PM,37.821
631,02/01/19 05:23:30 PM,37.8759
633,02/01/19 05:24:30 PM,37.7096
635,02/01/19 05:25:30 PM,37.5204
